recipe_id,ingredient,amount
1,쌀눈곤약미,3컵
1,쌀,1컵
1,강황곤약미,3컵
1,쌀,1컵
1,아로니아곤약미,3컵
1,쌀,1컵( 계량은 소주잔 )
1,밥물 각,1+1/2종이컵
2,밥물 계량컵으로,2+1/2컵
2,홍국쌀,1종지
2,쌀,10종지
3,잡곡쌀,2컵
3,물,2컵
4,통깨,1작은술
4,참기름,1/2큰술
4,맛술,1큰술
4,간장,2큰술
4,달래,10g
4,당근,30g
4,백미,1컵
4,감자(작은것),2개
4,시래기(물기짠거),100g
4,찰보리,1/2컵
4,현미,1/2컵
4,식초(선택),1작은술
4,건표고,10g
5,쌀,1공기
5,물,3공기 정도
5,귀리,4큰술
5,수수,4큰술
6,멥쌀,2컵
6,차 좁쌀,50g
6,찰수수 쌀,50g
6,밥물,430ml(2컵+2큰술)
7,단호박,
7,각종잡곡,
7,쌀,
7,물,
8,병아리콩,500g
8,쌀,2컵
8,소금,1작은술
9,흰강낭콩(네이비빈),200g
9,쌀,300g
10,물,
10,백미,
10,완두콩,
11,쌀,
11,찰현미,
11,완두콩,
11,물,
12,쌀,1컵
12,렌틸콩,2큰술
12,물,1컵 등(1인분 )
13,다진파,4큰술
13,멥쌀2컵 찰보리쌀,3컵
13,참기름,2큰술
13,쌀뜨물,3컵
13,다진마늘,2큰술
13,홍고추,1개
13,설탕,1큰술
13,양파,1/2개
13,표고버섯,5개
13,애호박,1/2개
13,풋고추,3개
13,멸치가루,3큰술
13,고추장,1큰술
13,된장,6큰술
14,보리쌀,1+1/2컵
14,쌀,1/2컵
14,감자(중사이즈),3개
14,물,2컵
15,쌀,3컵
15,밥물은 쌀의,1.2배
15,새싹보리분말,1/2큰술 등
16,들기름,1t
16,물,1+1/2종이컵
16,꽃소금,1/2t
16,불린 보리쌀,1/2종이컵
16,데친곤드레나물,200g
16,불린 멥쌀,1/2종이컵
17,통깨,1큰술
17,소금,1큰술
17,찹쌀풀,200g
17,생강가루,1티스푼
17,설탕,4큰술
17,다진마늘,3큰술
17,멸치액젓,6큰술
17,굵은소금,300g
17,홍고추,10개
17,양파,1개
17,열무,3단
17,고추가루,6큰술
18,물,3숟가락
18,홍고추,1/3개
18,통깨,약간
18,다진파,약간
18,참기름,1숟가락
18,간장,3숟가락
18,표고버섯,2장
18,당근,20g
18,애호박,1/5개
18,양파,1/6개
18,배추,2장
18,새송이버섯,1/2개
18,불린쌀,1종이컵
19,쌀,1컵
19,물,1+1/4컵
19,대추,1개
20,모짜렐라피자치즈,3T
20,참기름,0.5T
20,콘옥수수,1T
20,치즈,3T
20,다진파,0.5T
20,다진양파,2T
20,고추참치 작은거,1개
